OBJID;RA;DEC;NAME;NH;ENERGY_SLOPE;ENERGY_SLOPE_ERROR;EXPOSURE_TIME;NUFNU_3000EV;NUFNU_ERROR_3000EV;NUFNU_500EV;NUFNU_ERROR_500EV;UPPER_LIMIT_500EV;NUFNU_1500EV;NUFNU_ERROR_1500EV;UPPER_LIMIT_1500EV;NUFNU_4500EV;NUFNU_ERROR_4500EV;UPPER_LIMIT_4500EV;COUNTRATES_300_10000EV;COUNTRATES_ERROR_300_10000EV;COUNTRATES_300_1000EV;COUNTRATES_ERROR_300_1000EV;UPPER_LIMIT_300_1000EV;COUNTRATES_1000_2000EV;COUNTRATES_ERROR_1000_2000EV;UPPER_LIMIT_1000_2000EV;COUNTRATES_2000_10000EV;COUNTRATES_ERROR_2000_10000EV;UPPER_LIMIT_2000_10000EV;RUNID;SNR
0;108.079;57.3296;SDSX_J071219.1+571946.7;4.75e+20;1.044;+0.07/-0.06;9231.2;9.14571e-13;3.5772e-14;8.49545e-13;5.52935e-14;-999;1.0911e-12;6.59001e-14;-999;8.85275e-13;7.12255e-14;-999;0.0767;0.003;0.02847;0.001853;-999;0.03068;0.001853;-999;0.01755;0.001412;-999;108_07871_57_33014_15;9256.77
1;108.214;57.2869;SDSX_J071251.4+571712.7;4.85e+20;0.8;-999/-999;9467;3.78124e-14;9.12206e-15;1.99778e-14;9.20932e-15;-999;5.09753e-14;1.68269e-14;-999;2.52545e-14;1.41624e-14;-999;0.00257;0.00062;0.0007009;0.0003231;-999;0.001402;0.0004628;-999;0.0004672;0.000262;-999;108_07871_57_33014_15;9471.15
2;108.143;57.4119;SDSX_J071234.3+572443.0;4.78e+20;0.8;-999/-999;8809.4;3.46495e-14;9.39648e-15;9.55982e-15;6.78064e-15;-999;3.67276e-14;1.53304e-14;-999;5.46435e-14;2.28087e-14;-999;0.00236;0.00064;0.0003371;0.0002391;-999;0.001011;0.000422;-999;0.001011;0.000422;-999;108_07871_57_33014_15;8813.09
3;108.324;57.3344;SDSX_J071317.8+572003.8;4.9e+20;0.8;-999/-999;9835.7;1.70926e-14;6.4834e-15;4.73985e-15;4.67978e-15;-999;3.01336e-14;1.35443e-14;-999;8.95758e-15;8.84405e-15;-999;0.00116;0.00044;0.0001657;0.0001636;-999;0.0008283;0.0003723;-999;0.0001657;0.0001636;-999;108_07871_57_33014_15;9838.34
4;108.098;57.1917;SDSX_J071223.5+571129.9;4.82e+20;0.8;-999/-999;9660.3;5.8943e-14;1.14652e-14;2.85263e-14;1.07962e-14;-999;7.89435e-14;2.07899e-14;-999;4.51721e-14;1.88321e-14;-999;0.00401;0.00078;0.001003;0.0003796;-999;0.002172;0.000572;-999;0.0008357;0.0003484;-999;108_07871_57_33014_15;9665.44
5;107.909;57.3748;SDSX_J071138.1+572229.2;4.68e+20;0.8;-999/-999;9800.3;1.91745e-14;6.87939e-15;1.84472e-14;9.26299e-15;-999;2.37739e-14;1.19378e-14;-999;1.47532e-14;-2.53722e-11;1.16999e-13;0.00131;0.00047;0.0006552;0.000329;-999;0.0006552;0.000329;-999;0.000273;-0.4695;0.002165;108_07871_57_33014_15;9803.09
6;107.961;57.4954;SDSX_J071150.6+572943.3;4.7e+20;0.8;-999/-999;8302.4;2.3873e-14;9.22698e-15;6.56403e-15;6.62042e-15;-999;2.5355e-14;1.47571e-14;-999;3.77537e-14;2.19735e-14;-999;0.00163;0.00063;0.0002328;0.0002348;-999;0.0006986;0.0004066;-999;0.0006986;0.0004066;-999;108_07871_57_33014_15;8304.99
7;107.987;57.5073;SDSX_J071156.9+573026.1;4.71e+20;0.8;-999/-999;7444.6;2.1096e-13;2.637e-14;2.13341e-13;3.69347e-14;-999;2.35211e-13;4.45376e-14;-999;1.94555e-14;1.59157e-14;-999;0.0144;0.0018;0.007561;0.001309;-999;0.00648;0.001227;-999;0.00036;0.0002945;-999;108_07871_57_33014_15;7452.6
8;108.036;57.5339;SDSX_J071208.7+573202.1;4.73e+20;0.8;-999/-999;6843.7;3.65009e-14;1.31931e-14;1.17267e-14;1.05625e-14;-999;3.01457e-14;1.93553e-14;-999;6.7286e-14;3.51725e-14;-999;0.00249;0.0009;0.000415;0.0003738;-999;0.0008303;0.0005331;-999;0.001245;0.0006508;-999;108_07871_57_33014_15;6846.47
9;137.244;-21.3147;SDSX_J090858.6-211852.9;1.06e+21;0.8;-999/-999;3586.8;5.04946e-13;5.28829e-14;6.34898e-13;9.1777e-14;-999;4.90994e-13;7.93293e-14;-999;9.49646e-14;4.09368e-14;-999;0.0296;0.0031;0.01524;0.002203;-999;0.01262;0.002039;-999;0.001741;0.0007505;-999;137_24442_m21_31517_15;3596.35
